N;data;campeonato;estadio;jogador;time;contra
3;18/06/1911;Citadino;Outros;Vinholes;Internacional;
2;17/07/1910;Citadino;Baixada;Booth;Grêmio;
2;17/07/1910;Citadino;Baixada;Booth;Grêmio;
2;17/07/1910;Citadino;Baixada;Geyer;Grêmio;
2;17/07/1910;Citadino;Baixada;Moreira;Grêmio;
2;17/07/1910;Citadino;Baixada;Mostardeiro;Grêmio;
1;18/07/1909;Amistoso;Baixada;Booth;Grêmio;
1;18/07/1909;Amistoso;Baixada;Booth;Grêmio;
1;18/07/1909;Amistoso;Baixada;Booth;Grêmio;
1;18/07/1909;Amistoso;Baixada;Booth;Grêmio;
1;18/07/1909;Amistoso;Baixada;Booth;Grêmio;
1;18/07/1909;Amistoso;Baixada;Grünewald;Grêmio;
1;18/07/1909;Amistoso;Baixada;Grünewald;Grêmio;
1;18/07/1909;Amistoso;Baixada;Grünewald;Grêmio;
1;18/07/1909;Amistoso;Baixada;Grünewald;Grêmio;
1;18/07/1909;Amistoso;Baixada;Moreira;Grêmio;
