N;data;resultado;mandante;gremio;inter;saldo_gremio;saldo_inter;campeonato;estadio;gols
166;01/05/1963;Grêmio 4 X 1 Internacional;Grêmio;4;1;3;-3;Amistoso;Olímpico;Marino (G), Marino (G), Marino (G), Marino (G), Paulo Araújo (I)
167;29/09/1963;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Gaúcho;Eucaliptos;Marino (G)
168;14/12/1963;Grêmio 1 X 0 Internacional;Grêmio;1;0;1;-1;Gaúcho;Olímpico;Carlos Alberto (contra, G)
169;19/04/1964;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Amistoso;Outros;Vanderlei (I)
170;23/04/1964;Grêmio 3 X 0 Internacional;Grêmio;3;0;3;-3;Amistoso;Olímpico;Alcindo (G), Alcindo (G), Alcindo (G)
171;26/07/1964;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Gaúcho;Eucaliptos;
172;20/08/1964;Grêmio 0 X 2 Internacional;Grêmio;0;2;-2;2;Amistoso;Olímpico;Croaré (I), Dorinho (I)
173;01/11/1964;Grêmio 3 X 0 Internacional;Grêmio;3;0;3;-3;Gaúcho;Olímpico;Alcindo (G), Alcindo (G), Joãozinho (G)
174;21/11/1964;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Amistoso;Eucaliptos;Sapiranga (I)
175;10/12/1964;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Amistoso;Olímpico;Edmilson (I), Dorinho (I), Aureo (G)
176;21/03/1965;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Amistoso;Outros;
177;29/08/1965;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Gaúcho;Olímpico;Joãozinho (G), Alcindo (G), David (I)
178;12/12/1965;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Gaúcho;Eucaliptos;Alcindo (G)
179;17/02/1966;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Gaúcho;Olímpico;Dorinho (I)
180;02/10/1966;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Gaúcho;Eucaliptos;Alcindo (G)
181;05/03/1967;Grêmio 0 X 2 Internacional;Grêmio;0;2;-2;2;Outros;Olímpico;Bráulio (I), Carlinhos (I)
182;24/05/1967;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Outros;Olímpico;Cléo (G), Joaquim (I)
183;04/06/1967;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Outros;Olímpico;
184;16/09/1967;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Gaúcho;Olímpico;Claudiomiro (I)
185;17/12/1967;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Eucaliptos;Dorinho (I)
186;12/05/1968;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Gaúcho;Eucaliptos;Valdomiro (I), Alcindo (G)
187;02/06/1968;Grêmio 4 X 0 Internacional;Grêmio;4;0;4;-4;Gaúcho;Olímpico;Alcindo (G), Alcindo (G), Joãozinho (G), Volmir (G)
188;24/11/1968;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Outros;Olímpico;
189;20/04/1969;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Amistoso;Beira-Rio;
190;22/06/1969;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Olímpico;
191;21/09/1969;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Outros;Beira-Rio;Sérgio (I)
192;21/12/1969;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Gaúcho;Beira-Rio;
193;09/05/1970;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Amistoso;Olímpico;
194;09/08/1970;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Gaúcho;Beira-Rio;
195;20/09/1970;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Gaúcho;Olímpico;Loivo (G), Valdomiro (I), Edson Madureira (I)
196;28/10/1970;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Outros;Olímpico;
197;24/03/1971;Internacional 0 X 2 Grêmio;Internacional;2;0;2;-2;Amistoso;Beira-Rio;Gaspar (G), Flecha (G)
198;30/05/1971;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Gaúcho;Beira-Rio;Loivo (G), Canhoto (I)
199;27/06/1971;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Olímpico;
200;04/08/1971;Internacional 1 X 3 Grêmio;Internacional;3;1;2;-2;Gaúcho;Beira-Rio;Caio (G), Caio (G), Everaldo (contra, I), Scota (G)
201;17/10/1971;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Brasileiro;Beira-Rio;Sérgio (I)
202;02/03/1972;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Amistoso;Beira-Rio;Caio (G), Ancheta (contra, I)
203;05/03/1972;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Amistoso;Olímpico;Claudiomiro (I), Ancheta (G)
204;26/03/1972;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Amistoso;Beira-Rio;
205;21/05/1972;Internacional 2 X 2 Grêmio;Internacional;2;2;0;0;Gaúcho;Beira-Rio;Pontes (contra, G), Mazinho (G), Pontes (I), Figueroa (I)
206;06/08/1972;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Gaúcho;Olímpico;Claudiomiro (I)
207;20/08/1972;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Citadino;Olímpico;Arlen (I)
208;30/08/1972;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Citadino;Beira-Rio;Escurinho (I), Volmir (I)
209;20/09/1972;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Brasileiro;Beira-Rio;Figueroa (I)
210;20/05/1973;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Gaúcho;Beira-Rio;Oberti (G), Djair (I)
211;05/08/1973;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Olímpico;
212;11/11/1973;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Brasileiro;Beira-Rio;Valdomiro (I), Mazinho (G)
213;24/03/1974;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Brasileiro;Beira-Rio;Bolivar (G), Claudiomiro (I), Valdomiro (I)
214;29/09/1974;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Gaúcho;Olímpico;Escurinho (I)
215;01/12/1974;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Beira-Rio;Valdomiro (I)
216;01/05/1975;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Amistoso;Beira-Rio;Escurinho (I), Escurinho (I)
217;13/07/1975;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Gaúcho;Olímpico;Flávio (I), Carpegiani (I), Falcão (contra, G)
218;23/07/1975;Internacional 1 X 3 Grêmio;Internacional;3;1;2;-2;Gaúcho;Beira-Rio;Zequinha (G), Zequinha (G), Falcão (I), Vacaria (contra, G)
219;06/08/1975;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Gaúcho;Olímpico;Nenê (G), Figueroa (I)
220;10/08/1975;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Beira-Rio;Flávio (I)
221;07/09/1975;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Brasileiro;Beira-Rio;Lula (I), Zequinha (G)
222;23/11/1975;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Brasileiro;Beira-Rio;Beto Fuscão (contra, I)
223;25/07/1976;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Gaúcho;Beira-Rio;Figueroa (I), Carpegiani (I)
224;28/07/1976;Grêmio 2 X 0 Internacional;Grêmio;2;0;2;-2;Gaúcho;Olímpico;Alexandre Bueno (G), Ancheta (G)
225;09/08/1976;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Beira-Rio;Beto Fuscão (contra, I)
226;18/08/1976;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Gaúcho;Olímpico;Tarciso (G), Escurinho (I)
227;22/08/1976;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Gaúcho;Beira-Rio;Lula (I), Dario (I)
228;07/09/1976;Internacional 3 X 1 Grêmio;Internacional;1;3;-2;2;Brasileiro;Beira-Rio;Alexandre Bueno (G), Lula (I), Lula (I), Jair (I)
229;17/04/1977;Grêmio 3 X 0 Internacional;Grêmio;3;0;3;-3;Gaúcho;Olímpico;Tadeu Ricci (G), Tadeu Ricci (G), Alcindo (G)
230;08/05/1977;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Beira-Rio;Santos (I)
231;29/05/1977;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Gaúcho;Olímpico;Dario (I)
232;03/06/1977;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Gaúcho;Beira-Rio;
233;14/08/1977;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Gaúcho;Olímpico;Iúra (G), Tarciso (G), Hermínio (I)
234;18/09/1977;Internacional 0 X 2 Grêmio;Internacional;2;0;2;-2;Gaúcho;Beira-Rio;Tadeu Ricchi (G), Tarciso (G)
235;25/09/1977;Grêmio 1 X 0 Internacional;Grêmio;1;0;1;-1;Gaúcho;Olímpico;André (G)
236;06/11/1977;Internacional 0 X 4 Grêmio;Internacional;4;0;4;-4;Brasileiro;Beira-Rio;Iura (G), Iura (G), Tadeu Ricchi (G), Tarciso (G)
237;23/04/1978;Internacional 2 X 3 Grêmio;Internacional;3;2;1;-1;Brasileiro;Beira-Rio;Lúcio (I), André (G), Falcão (I), Ladinho (G), Éder (G)
238;20/08/1978;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Gaúcho;Olímpico;Anchieta (I), André (G), Éder (G)
239;07/09/1978;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Beira-Rio;Anchieta (I)
240;10/09/1978;Grêmio 2 X 2 Internacional;Grêmio;2;2;0;0;Gaúcho;Olímpico;Valdomiro (I), Éder (G), Falcão (I), Renato Sá (G)
241;15/09/1978;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Beira-Rio;Tonho (I)
242;05/11/1978;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Gaúcho;Olímpico;Caçapava (I), André (G)
243;08/11/1978;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Gaúcho;Beira-Rio;Jair (I), Éder (G), Valdomiro (I)
244;26/11/1978;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Olímpico;
245;13/12/1978;Internacional 2 X 2 Grêmio;Internacional;2;2;0;0;Gaúcho;Beira-Rio;Adilson (I), Adilson (I), Iúra (G), Éder (G)
246;17/12/1978;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Gaúcho;Olímpico;Valdomiro (I), Valdomiro (I), Tarciso (G)
247;13/05/1979;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Gaúcho;Beira-Rio;
248;22/07/1979;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Gaúcho;Olímpico;Borracha (I), Éder (G)
249;26/08/1979;Internacional 1 X 2 Grêmio;Internacional;2;1;1;-1;Gaúcho;Beira-Rio;Jurandir (G), Baltazar (G), Chico Spina (I)
250;20/09/1979;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Gaúcho;Olímpico;Leandro (G), Jair (I)
251;06/10/1979;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Brasileiro;Beira-Rio;Jair (I)
252;24/08/1980;Grêmio 2 X 2 Internacional;Grêmio;2;2;0;0;Gaúcho;Olímpico;Baltazar (G), Pompéia (I), Pompéia (I), Tarciso (G)
253;19/10/1980;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Beira-Rio;Jair (I)
254;05/11/1980;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Olímpico;
255;23/11/1980;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Gaúcho;Beira-Rio;
256;26/07/1981;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Olímpico;
257;07/10/1981;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Gaúcho;Beira-Rio;
258;04/11/1981;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Gaúcho;Beira-Rio;Geraldão (G), Bira (I), Cléo (I)
259;29/11/1981;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Gaúcho;Olímpico;Silvinho (I), Baltazar (G)
260;03/08/1982;Internacional 0 X 2 Grêmio;Internacional;2;0;2;-2;Gaúcho;Beira-Rio;Edmar (G), Tarciso (G)
261;10/10/1982;Grêmio 2 X 2 Internacional;Grêmio;2;2;0;0;Gaúcho;Olímpico;Mauro Pastor (I), Edmar (G), China (G), Cléo (I)
262;07/11/1982;Internacional 3 X 1 Grêmio;Internacional;1;3;-2;2;Gaúcho;Beira-Rio;Geraldão (I), Geraldão (I), Geraldão (I), Leandro (G)
263;28/11/1982;Grêmio 0 X 2 Internacional;Grêmio;0;2;-2;2;Gaúcho;Olímpico;Geraldão (I), Geraldão (I)
264;30/07/1983;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Gaúcho;Olímpico;Gerson (I)
265;02/10/1983;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Gaúcho;Beira-Rio;Mauro Galvão (I), Osvaldo (G)
266;02/11/1983;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Olímpico;
267;27/11/1983;Internacional 2 X 2 Grêmio;Internacional;2;2;0;0;Gaúcho;Beira-Rio;Gerson (I), Milton Cruz (I), Raul (G), Raul (G)
268;26/01/1984;Grêmio 4 X 2 Internacional;Grêmio;4;2;2;-2;Amistoso;Olímpico;Renato (G), Osvaldo (G), Caio (G), Paulo Cesar (G), Bonamigo (contra, I), Rubem Paz (I)
269;23/09/1984;Grêmio 0 X 2 Internacional;Grêmio;0;2;-2;2;Gaúcho;Olímpico;Jussiê (I), Rubem Paz (I)
270;08/11/1984;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Gaúcho;Beira-Rio;Rubem Paz (I), Rubem Paz (I), Carlos Alberto Garcia (G)
271;25/11/1984;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Gaúcho;Beira-Rio;Mauro Galvão (I), Kita (I)
272;13/12/1984;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Gaúcho;Olímpico;Valdo (G), Kita (I)
273;10/02/1985;Grêmio 2 X 0 Internacional;Grêmio;2;0;2;-2;Brasileiro;Olímpico;Ademir (G), Renato (G)
274;24/03/1985;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Brasileiro;Beira-Rio;Luis Fernando (G)
275;20/10/1985;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Gaúcho;Beira-Rio;Paulo Santos (I), Henrique (contra, I)
276;08/12/1985;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Gaúcho;Olímpico;Bonamigo (G), Caio Jr (G), Tita (I)
277;23/03/1986;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Gaúcho;Beira-Rio;China (G)
278;11/05/1986;Grêmio 1 X 3 Internacional;Grêmio;1;3;-2;2;Gaúcho;Olímpico;Renato (G), Balalo (I), Airton (I), Marcelo Vita (I)
279;09/07/1986;Internacional 2 X 2 Grêmio;Internacional;2;2;0;0;Gaúcho;Beira-Rio;China (contra, I), Valdo (G), Marcelo Vita (I), Mauro Galvão (contra, G)
280;20/07/1986;Grêmio 1 X 0 Internacional;Grêmio;1;0;1;-1;Gaúcho;Olímpico;Osvaldo (G)
281;18/03/1987;Internacional 2 X 2 Grêmio;Internacional;2;2;0;0;Gaúcho;Beira-Rio;Luis Fernando (I), Sabará (I), Caio Jr. (G), China (G)
282;29/03/1987;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Gaúcho;Olímpico;Jorge Veras (G), Jorge Veras (G), Amarildo (I)
283;05/04/1987;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Gaúcho;Beira-Rio;Caio Jr (G)
284;10/05/1987;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Gaúcho;Olímpico;Balalo (I)
285;31/05/1987;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Gaúcho;Beira-Rio;Caio Jr (G), Amarildo (I)
286;14/06/1987;Grêmio 3 X 0 Internacional;Grêmio;3;0;3;-3;Gaúcho;Olímpico;Alfinete (G), Lima (G), Cristovão (G)
287;16/06/1987;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Olímpico;
288;28/06/1987;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Gaúcho;Beira-Rio;
289;19/07/1987;Grêmio 3 X 2 Internacional;Grêmio;3;2;1;-1;Gaúcho;Olímpico;Jorge Veras (G), Lima (G), Lima (G), Luis Carlos Winck (I), Paulinho (I)
290;12/10/1987;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Brasileiro;Beira-Rio;Jorge Veras (G)
291;12/03/1988;Grêmio 1 X 0 Internacional;Grêmio;1;0;1;-1;Gaúcho;Olímpico;Luis Carlos Winck (contra, G)
292;28/04/1988;Grêmio 3 X 1 Internacional;Grêmio;3;1;2;-2;Gaúcho;Olímpico;Luis Fernando Flores (I),  Lima (G), Lima (G), Valdo (G)
293;22/05/1988;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Gaúcho;Beira-Rio;
294;19/06/1988;Grêmio 3 X 3 Internacional;Grêmio;3;3;0;0;Gaúcho;Olímpico; Lima (G), Lima (G), Amarildo (I), Heider (I), Zé Roberto (G), Luis Fernando Flores (I)
295;04/09/1988;Grêmio 1 X 0 Internacional;Grêmio;1;0;1;-1;Brasileiro;Olímpico;Zé Roberto (G)
296;09/02/1989;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Brasileiro;Olímpico;
297;12/02/1989;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Brasileiro;Beira-Rio;Marcus Vinicius (G), Nilson (I), Nilson (I)
298;19/03/1989;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Gaúcho;Beira-Rio;Jorginho (G), Maurício (I)
299;28/05/1989;Internacional 1 X 3 Grêmio;Internacional;3;1;2;-2;Gaúcho;Beira-Rio;Luis Fernando Flores (I), Kita (G), Paulo Egidio (G), Jandir (G)
300;18/06/1989;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Olímpico;
301;29/11/1989;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Brasileiro;Beira-Rio;Nélson (I), Nélson (I)
302;22/03/1990;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Gaúcho;Olímpico;Nélson (I)
303;03/06/1990;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Beira-Rio;Edu (I)
304;15/07/1990;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Gaúcho;Beira-Rio;Nilson (G)
305;29/07/1990;Grêmio 4 X 1 Internacional;Grêmio;4;1;3;-3;Gaúcho;Olímpico;Assis (G), Paulo Egidio (G), Paulo Egidio (G), Cuca (G), Zaballa (I)
306;26/08/1990;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Brasileiro;Beira-Rio;Nilson (G)
307;16/02/1991;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Brasileiro;Olímpico;
308;22/09/1991;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Gaúcho;Olímpico;Caio (G), Caio (G), Marquinhos (I)
309;01/12/1991;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Gaúcho;Olímpico;Alex (I)
310;08/12/1991;Internacional 0 X 2 Grêmio;Internacional;2;0;2;-2;Gaúcho;Beira-Rio;Assis (G), Lira (G)
311;15/12/1991;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Gaúcho;Beira-Rio;
312;14/06/1992;Grêmio 2 X 0 Internacional;Grêmio;2;0;2;-2;Amistoso;Olímpico;Jandir (G), Lira (G)
313;18/06/1992;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Amistoso;Beira-Rio;
314;21/06/1992;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Amistoso;Outros;
315;13/09/1992;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Gaúcho;Beira-Rio;Alcindo (G), Maurício (I)
316;06/11/1992;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Outros;Olímpico;Alcindo (G), Gerson (I)
317;17/11/1992;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Outros;Beira-Rio;Gerson (I), Carlinhos (G)
318;20/12/1992;Grêmio 1 X 3 Internacional;Grêmio;1;3;-2;2;Gaúcho;Olímpico;Marquinhos (I), Alcindo (G), Nando (I), Nando (I)
319;23/12/1992;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Gaúcho;Beira-Rio;
320;27/06/1993;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Gaúcho;Beira-Rio;Gilson (G)
321;18/07/1993;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Olímpico;
322;12/06/1994;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Beira-Rio;Argel (I)
323;16/10/1994;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Brasileiro;Olímpico;Nando (I), Agnaldo (G)
324;17/12/1994;Grêmio 1 X 4 Internacional;Grêmio;1;4;-3;3;Gaúcho;Olímpico;Leto (I), Leto (I), Ayupe (G), Leandro (I), Leandro (I)
325;02/04/1995;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Gaúcho;Beira-Rio;Nando (I), Leandro (I), Paulo Nunes (G)
326;28/06/1995;Grêmio 2 X 0 Internacional;Grêmio;2;0;2;-2;Gaúcho;Olímpico;Paulo Nunes (G), Jardel (G)
327;06/08/1995;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Gaúcho;Beira-Rio;Mazinho Loiola (I), Nildo (G)
328;13/08/1995;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Gaúcho;Olímpico;Nildo (G), Zé Alcindo (I), Carlos Miguel (G)
329;31/10/1995;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Brasileiro;Beira-Rio;Jardel (G)
330;17/03/1996;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Gaúcho;Beira-Rio;Goiano (G), Fabinho (I)
331;22/09/1996;Internacional 1 X 2 Grêmio;Internacional;2;1;1;-1;Brasileiro;Beira-Rio;Paulo Nunes (G), Murilo (I), Dinho (G)
332;23/03/1997;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Olímpico;
333;29/06/1997;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Gaúcho;Olímpico;Wagner (G), Christian (I)
334;02/07/1997;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Beira-Rio;Fabiano (I)
335;24/08/1997;Grêmio 2 X 5 Internacional;Grêmio;2;5;-3;3;Brasileiro;Olímpico;Christian (I), Sandoval (I), Fabiano (I), Fabiano (I), Sérgio Manoel (G), Marcelo (I), Gilmar (G)
336;26/07/1998;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Brasileiro;Beira-Rio;Christian (I)
337;17/03/1999;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Outros;Olímpico;Macedo (G), Christian (I)
338;28/03/1999;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Outros;Beira-Rio;Fabiano (I), Dunga (I)
339;13/06/1999;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Beira-Rio;Gonçalves (I)
340;16/06/1999;Grêmio 2 X 0 Internacional;Grêmio;2;0;2;-2;Gaúcho;Olímpico;Ronaldinho (G), Agnaldo (G)
341;20/06/1999;Grêmio 1 X 0 Internacional;Grêmio;1;0;1;-1;Gaúcho;Olímpico;Ronaldinho (G)
342;12/09/1999;Grêmio 1 X 0 Internacional;Grêmio;1;0;1;-1;Brasileiro;Olímpico;Zé Alcino (G)
343;20/11/1999;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Outros;Olímpico;Ronaldinho (G), Almir (I)
344;25/11/1999;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Outros;Beira-Rio;Almir (I), Guilherme (G)
345;30/04/2000;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Gaúcho;Beira-Rio;Enciso (I), Ronaldinho (G)
346;07/06/2000;Grêmio 1 X 0 Internacional;Grêmio;1;0;1;-1;Gaúcho;Olímpico;Ronaldinho (G)
347;07/10/2000;Internacional 1 X 2 Grêmio;Internacional;2;1;1;-1;Brasileiro;Beira-Rio;Elivélton (I), Ronaldinho (G), Warley (G)
348;01/04/2001;Grêmio 4 X 2 Internacional;Grêmio;4;2;2;-2;Gaúcho;Olímpico;Tinga (G), Tinga (G), Rodrigo Mendes (G), Luiz Cláudio (I), Fábio Pinto (I), Zinho (G)
349;13/05/2001;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Gaúcho;Beira-Rio;
350;06/10/2001;Grêmio 1 X 0 Internacional;Grêmio;1;0;1;-1;Brasileiro;Olímpico;Luis Mario (G)
351;20/03/2002;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Outros;Beira-Rio;Gilberto (G), Fabiano Costa (I)
352;26/10/2002;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Brasileiro;Beira-Rio;Rodrigo Mendes (G)
353;09/02/2003;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Gaúcho;Olímpico;Luis Mario (G), Vinicius (I), Daniel Carvalho (I)
354;09/03/2003;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Beira-Rio;André (I)
355;15/06/2003;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Brasileiro;Olímpico;
356;12/10/2003;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Brasileiro;Beira-Rio;Christian (G)
357;15/02/2004;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Gaúcho;Beira-Rio;Christian (G), Élder Granja (I)
358;07/03/2004;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Gaúcho;Olímpico;Élder Granja (I), Nilmar (I), Christian (G)
359;04/04/2004;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Gaúcho;Outros;Luciano Ratinho (G), Edinho (I), Nilmar (I)
360;10/07/2004;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Brasileiro;Beira-Rio;Vinicius (I), Fernandão (I)
361;15/09/2004;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Outros;Beira-Rio;Fernandão (I), Chiquinho (I)
362;22/09/2004;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Outros;Olímpico;Chiquinho (I), Pitbull (G), Roberto Santos (G)
363;23/10/2004;Grêmio 1 X 3 Internacional;Grêmio;1;3;-2;2;Brasileiro;Olímpico;Diego (I), Fernandão (I), Rodrigo Paulista (I), Anderson (G)
364;01/04/2006;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Olímpico;
